dNumb,Published,Department,Judge,Judge4Search,PicFileName,Page,AwardRank,Winner,Winner4Search,Title,SubTitle,WinnerArea,WinnerClub1,WinnerClub2,WinnerClub3,WinnerClub4,Area,Place,DayTime,Year,Month,Day,Season,Hour,Min,TimeZone,Weather,Subject,Composition,Camera,Lens,FocalLength,Exposure,WB,ColorMode,Tripod,TriPodHead,DataOfPhoto,Selection Comments,MapLink,OfficialSite,Logic_Advice,Context_Advice
1,2012N,,,,NT_100.jpg,4,,大山　行男,大山行男,彩雲,,山梨,,,,,山梨県山中湖村,,2007-01-26 15:00:00,2007,1,26,,15,0,,晴れ,富士山　彩雲　,遠,ハッセルブラッド500C/M,ゾナーCF250ミリF5.6,250,f16　1/250秒,,,,,RVP100F_三脚,,https://www.google.com/maps/search/?api=1&query=%E5%B1%B1%E6%A2%A8%E7%9C%8C%E5%B1%B1%E4%B8%AD%E6%B9%96%E6%9D%91%E5%BD%B9%E5%A0%B4,,,
2,2012N,,,,NT_050.jpg,4,,小川　英信,小川英信,春の彩り,,千葉,日本風景写真協会,,,,千葉県白井市今井,,2011-04-14 06:00:00,2011,4,14,,6,0,,晴れ,桜並木　朝日　映り込み　霧,近　中,ペンタックス645N,A645 80-160ミリF4.5,,f19AE(1秒・+0.7EV),,,,,RVP50_三脚,,https://www.google.com/maps/search/?api=1&query=%E5%8D%83%E8%91%89%E7%9C%8C%E7%99%BD%E4%BA%95%E5%B8%82%E4%BB%8A%E4%BA%95,,,
3,2012N,,,,NT_012.jpg,5,,阪口　義一,阪口義一,花吹雪,,奈良,明日香写真クラブ,FCCなら,,,奈良県天理市,内山永久寺跡池・本堂池の桜,2009-04-05 14:00:00,2009,4,5,,14,0,,晴れ,桜　池,中,ペンタックス645N,FA645 80-160ミリF4.5,,f4.5　1/180秒(-0.7EV),,,,,RVP100_三脚,,https://www.google.com/maps/search/?api=1&query=%E5%A5%88%E8%89%AF%E7%9C%8C%E5%A4%A9%E7%90%86%E5%B8%82%20%E5%86%85%E5%B1%B1%E6%B0%B8%E4%B9%85%E5%AF%BA%E8%B7%A1%E6%B1%A0%E3%83%BB%E6%9C%AC%E5%A0%82%E6%B1%A0%E3%81%AE%E6%A1%9C,https://www.google.com/search?q=%E5%A5%88%E8%89%AF%E7%9C%8C%E5%A4%A9%E7%90%86%E5%B8%82%20%E5%86%85%E5%B1%B1%E6%B0%B8%E4%B9%85%E5%AF%BA%E8%B7%A1%E6%B1%A0%E3%83%BB%E6%9C%AC%E5%A0%82%E6%B1%A0%E3%81%AE%E6%A1%9C%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,,
4,2012N,,,,NT_083.jpg,5,,竹内　敏信,竹内敏信,櫻,,東京,日本写真家協会,,,,福島県郡山市,雪村庵,2006-04-01 17:00:00,2006,4,255,中旬,17,0,,,桜　竹林,中,ペンタックス645NⅡ,FA645 150-300ミリF6.5ED,,f11AE(-0.3EV),,,,,RVP50_CPL,,https://www.google.com/maps/search/?api=1&query=%E7%A6%8F%E5%B3%B6%E7%9C%8C%E9%83%A1%E5%B1%B1%E5%B8%82%20%E9%9B%AA%E6%9D%91%E5%BA%B5,https://www.google.com/search?q=%E7%A6%8F%E5%B3%B6%E7%9C%8C%E9%83%A1%E5%B1%B1%E5%B8%82%20%E9%9B%AA%E6%9D%91%E5%BA%B5%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,,
5,2012N,,,,NT_075.jpg,6,,田中　美知子,田中美知子,春うらら,,岐阜,写友風,日本風景写真協会,,,滋賀県高島市,琵琶湖・海津大崎,2011-04-17 06:00:00,2011,4,17,,6,0,,晴れ,桜　琵琶湖　島　朝陽,近　中　遠,キヤノンEOS-1V,EF16-35ミリF2.8L USM,,f16AE(0.5秒・+1EV),,,,,RVP100_三脚_CPL,,https://www.google.com/maps/search/?api=1&query=%E6%BB%8B%E8%B3%80%E7%9C%8C%E9%AB%98%E5%B3%B6%E5%B8%82%20%E7%90%B5%E7%90%B6%E6%B9%96%E3%83%BB%E6%B5%B7%E6%B4%A5%E5%A4%A7%E5%B4%8E,https://www.google.com/search?q=%E6%BB%8B%E8%B3%80%E7%9C%8C%E9%AB%98%E5%B3%B6%E5%B8%82%20%E7%90%B5%E7%90%B6%E6%B9%96%E3%83%BB%E6%B5%B7%E6%B4%A5%E5%A4%A7%E5%B4%8E%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,,
6,2012N,,,,NT_080.jpg,6,,和泉　信太郎,和泉信太郎,古木の春,,埼玉,写団所沢,,,,群馬県片品村,天王桜,2009-04-28 16:00:00,2009,4,28,,16,0,,曇り,オオヤマザクラ,中,ペンタックス645N,FA645 150-300ミリF6.5ED,,f22AE(-0.7EV),,,,,RVP100_三脚_CPL,,https://www.google.com/maps/search/?api=1&query=%E7%BE%A4%E9%A6%AC%E7%9C%8C%E7%89%87%E5%93%81%E6%9D%91%20%E5%A4%A9%E7%8E%8B%E6%A1%9C,https://www.google.com/search?q=%E7%BE%A4%E9%A6%AC%E7%9C%8C%E7%89%87%E5%93%81%E6%9D%91%20%E5%A4%A9%E7%8E%8B%E6%A1%9C%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,,
7,2012N,,,,NT_064.jpg,7,,吉井　康哲,吉井康哲,山の彼方に,,岡山,日本風景写真協会,瀬戸内写真塾,,,岡山県美咲町,三休公園,2011-04-13 06:30:00,2011,4,13,,6,30,,晴れ,桜　霧,近　中　遠,ペンタックス645NⅡ,FA645 80-160ミリF4.5,,f22AE(1/15秒),,,,,RVP100_三脚,,https://www.google.com/maps/search/?api=1&query=%E5%B2%A1%E5%B1%B1%E7%9C%8C%E7%BE%8E%E5%92%B2%E7%94%BA%20%E4%B8%89%E4%BC%91%E5%85%AC%E5%9C%92,https://www.google.com/search?q=%E5%B2%A1%E5%B1%B1%E7%9C%8C%E7%BE%8E%E5%92%B2%E7%94%BA%20%E4%B8%89%E4%BC%91%E5%85%AC%E5%9C%92%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,,
8,2012N,,,,NT_056.jpg,7,,久保田　正晶,久保田正晶,日没の輝き,,神奈川,写団薬師,新現役ネット写真同好会,,,神奈川県横浜市,花桃の丘,2011-03-30 17:00:00,2011,3,30,,17,0,,晴れ,桃の花　夕日,近　中　遠,ニコンF100,AiAFズームニッコール24-85ミリ F2.8-4D(IF),,f11AE(1/30秒・-0.3EV),,,,,RVP100_三脚_ハーフND,,https://www.google.com/maps/search/?api=1&query=%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%20%E8%8A%B1%E6%A1%83%E3%81%AE%E4%B8%98,https://www.google.com/search?q=%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%20%E8%8A%B1%E6%A1%83%E3%81%AE%E4%B8%98%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,,
9,2012N,,,,NT_051.jpg,8,,辰己　登,辰己登,巨木桜,,兵庫,フォト39会,日本風景写真協会,,,奈良県曽爾村,屏風岩公苑,2011-04-28 15:00:00,2011,4,28,,15,0,,晴れ,桜　樹木　,中,リンホフスーパーテヒニカ,フジノンW150ミリF5.6,150,f32・1/8秒,,,,,RVP100_三脚,,https://www.google.com/maps/search/?api=1&query=%E5%A5%88%E8%89%AF%E7%9C%8C%E6%9B%BD%E7%88%BE%E6%9D%91%20%E5%B1%8F%E9%A2%A8%E5%B2%A9%E5%85%AC%E8%8B%91,https://www.google.com/search?q=%E5%A5%88%E8%89%AF%E7%9C%8C%E6%9B%BD%E7%88%BE%E6%9D%91%20%E5%B1%8F%E9%A2%A8%E5%B2%A9%E5%85%AC%E8%8B%91%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,,
10,2012N,,,,NT_011.jpg,8,,平山　順朗,平山順朗,花盛り,,神奈川,フォトクラブ風,銀狼,,,長野県白馬村,大出地区,2011-05-20 05:00:00,2011,5,20,,5,0,,晴れ,芝桜　雪山　白馬三山,近　中　遠,ペンタックス645NⅡ,FA645 45-85ミリF4.5,,f32AE(1/20秒),,,,,RVP100_三脚,,https://www.google.com/maps/search/?api=1&query=%E9%95%B7%E9%87%8E%E7%9C%8C%E7%99%BD%E9%A6%AC%E6%9D%91%20%E5%A4%A7%E5%87%BA%E5%9C%B0%E5%8C%BA,https://www.google.com/search?q=%E9%95%B7%E9%87%8E%E7%9C%8C%E7%99%BD%E9%A6%AC%E6%9D%91%20%E5%A4%A7%E5%87%BA%E5%9C%B0%E5%8C%BA%20%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,,
